date,tavg,prcp,wspd,wdir
2016-12-16,5.1,1.9,7.2,160.0
2017-12-16,0.3,16.9,9.8,347.0
2018-12-16,6.1,14.9,12.3,216.0
2019-12-16,8.3,0.0,28.6,156.0
2020-12-16,6.3,0.0,20.8,161.0
2021-12-16,5.6,0.0,6.1,153.0
2022-12-16,4.7,4.5,9.3,323.0
2023-12-16,2.8,0.0,13.0,33.0
2024-12-16,4.3,0.0,14.0,163.0
2025-12-16,6.8,2.8,12.3,142.0
