date,tavg,prcp,wspd,wdir
2016-12-16,11.9,18.2,25.0,120.0
2017-12-16,6.7,0.0,20.7,301.0
2018-12-16,6.4,5.9,7.0,358.0
2019-12-16,14.4,1.5,29.7,134.0
2020-12-16,12.9,2.8,21.3,123.0
2021-12-16,7.0,0.0,14.9,11.0
2022-12-16,8.0,0.0,11.4,21.0
2023-12-16,7.4,0.0,12.0,352.0
2024-12-16,6.4,0.0,5.7,339.0
2025-12-16,12.7,17.7,19.7,115.0
