date,tavg,prcp,wspd,wdir
2016-05-15,14.5,,16.0,
2016-05-16,14.5,,10.1,
2016-05-17,14.8,,8.7,
2016-05-18,14.4,,12.2,
2016-05-19,14.4,,16.0,
2016-05-20,17.8,,8.2,
2016-05-21,18.3,,13.6,
2016-05-22,11.1,,20.7,
2016-05-23,13.4,,15.7,
2016-05-24,15.0,,14.8,
2016-05-25,15.8,,7.1,
